region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
washington,1996,3,1996-03,276.1041666666667,276.71316964285717,-0.6090029761904816
washington,1996,4,1996-04,279.26708333333335,280.24651785714286,-0.9794345238095161
washington,1996,5,1996-05,286.11583333333334,285.1485863095238,0.9672470238095343
washington,1996,6,1996-06,287.7675,289.0886458333333,-1.3211458333333326
washington,1996,7,1996-07,293.06916666666666,292.189806547619,0.8793601190476465
washington,1996,8,1996-08,290.535,291.27175595238094,-0.7367559523809177
washington,1996,9,1996-09,287.17625000000004,286.9923363095238,0.1839136904762313
washington,1996,10,1996-10,279.99833333333333,281.9270684523809,-1.9287351190475874
washington,1996,11,1996-11,276.00874999999996,276.1007886904762,-0.09203869047621538
washington,1996,12,1996-12,273.38208333333336,272.1713392857143,1.2107440476190732
washington,1997,1,1997-01,274.07166666666666,271.98311011904764,2.088556547619021
washington,1997,2,1997-02,273.4716666666667,273.18596726190475,0.28569940476194233
washington,1997,3,1997-03,278.29291666666666,276.71316964285717,1.5797470238094888
washington,1997,4,1997-04,281.60833333333335,280.24651785714286,1.3618154761904862
washington,1997,5,1997-05,283.5129166666666,285.1485863095238,-1.6356696428571809
washington,1997,6,1997-06,286.40208333333334,289.0886458333333,-2.6865624999999795
washington,1997,7,1997-07,290.49708333333336,292.189806547619,-1.6927232142856496
washington,1997,8,1997-08,290.99875,291.27175595238094,-0.27300595238097003
washington,1997,9,1997-09,287.1408333333333,286.9923363095238,0.14849702380951157
washington,1997,10,1997-10,283.58125,281.9270684523809,1.654181547619089
washington,1997,11,1997-11,277.40166666666664,276.1007886904762,1.3008779761904634
washington,1997,12,1997-12,271.82625,272.1713392857143,-0.3450892857142662
washington,1998,1,1998-01,276.0420833333333,271.98311011904764,4.058973214285686
washington,1998,2,1998-02,275.5204166666667,273.18596726190475,2.3344494047619264
washington,1998,3,1998-03,278.4379166666667,276.71316964285717,1.7247470238095275
washington,1998,4,1998-04,280.3904166666666,280.24651785714286,0.14389880952376188
washington,1998,5,1998-05,286.40541666666667,285.1485863095238,1.25683035714286
washington,1998,6,1998-06,290.13124999999997,289.0886458333333,1.0426041666666492
washington,1998,7,1998-07,291.78333333333336,292.189806547619,-0.4064732142856542
washington,1998,8,1998-08,290.67375,291.27175595238094,-0.5980059523809587
washington,1998,9,1998-09,287.26875,286.9923363095238,0.276413690476204
washington,1998,10,1998-10,282.41833333333335,281.9270684523809,0.4912648809524285
washington,1998,11,1998-11,276.22541666666666,276.1007886904762,0.1246279761904816
washington,1998,12,1998-12,274.82958333333335,272.1713392857143,2.658244047619064
washington,1999,1,1999-01,274.67875,271.98311011904764,2.695639880952342
washington,1999,2,1999-02,273.1458333333333,273.18596726190475,-0.04013392857143572
washington,1999,3,1999-03,277.8875,276.71316964285717,1.1743303571428214
washington,1999,4,1999-04,280.9508333333333,280.24651785714286,0.7043154761904589
washington,1999,5,1999-05,285.2595833333333,285.1485863095238,0.11099702380948884
washington,1999,6,1999-06,290.0183333333333,289.0886458333333,0.9296875
washington,1999,7,1999-07,292.485,292.189806547619,0.2951934523809996
washington,1999,8,1999-08,293.295,291.27175595238094,2.023244047619073
washington,1999,9,1999-09,286.83375,286.9923363095238,-0.15858630952379826
washington,1999,10,1999-10,280.59791666666666,281.9270684523809,-1.3291517857142594
washington,1999,11,1999-11,276.96000000000004,276.1007886904762,0.8592113095238574
washington,1999,12,1999-12,274.7320833333333,272.1713392857143,2.560744047619039
washington,2000,1,2000-01,270.04749999999996,271.98311011904764,-1.9356101190476807
washington,2000,2,2000-02,270.74291666666664,273.18596726190475,-2.4430505952381054
washington,2000,3,2000-03,272.8104166666667,276.71316964285717,-3.9027529761904702
washington,2000,4,2000-04,277.39416666666665,280.24651785714286,-2.852351190476213
washington,2000,5,2000-05,284.2270833333333,285.1485863095238,-0.9215029761904816
washington,2000,6,2000-06,286.55,289.0886458333333,-2.5386458333333053
washington,2000,7,2000-07,290.69083333333333,292.189806547619,-1.4989732142856838
washington,2000,8,2000-08,290.4195833333333,291.27175595238094,-0.8521726190476215
washington,2000,9,2000-09,287.8883333333333,286.9923363095238,0.8959970238095138
washington,2000,10,2000-10,281.7133333333333,281.9270684523809,-0.21373511904761244
washington,2000,11,2000-11,277.56666666666666,276.1007886904762,1.4658779761904839
washington,2000,12,2000-12,275.02666666666664,272.1713392857143,2.8553273809523603
washington,2001,1,2001-01,269.41125,271.98311011904764,-2.571860119047642
washington,2001,2,2001-02,266.7291666666667,273.18596726190475,-6.4568005952380645
washington,2001,3,2001-03,276.31874999999997,276.71316964285717,-0.3944196428572013
washington,2001,4,2001-04,281.09083333333336,280.24651785714286,0.8443154761905021
washington,2001,5,2001-05,285.3858333333333,285.1485863095238,0.23724702380951612
washington,2001,6,2001-06,287.7241666666667,289.0886458333333,-1.3644791666666265
washington,2001,7,2001-07,293.44416666666666,292.189806547619,1.2543601190476465
washington,2001,8,2001-08,290.6325,291.27175595238094,-0.6392559523809496
washington,2001,9,2001-09,286.39916666666664,286.9923363095238,-0.5931696428571627
washington,2001,10,2001-10,281.99625,281.9270684523809,0.06918154761905271
washington,2001,11,2001-11,276.80583333333334,276.1007886904762,0.7050446428571604
washington,2001,12,2001-12,271.88208333333336,272.1713392857143,-0.28925595238092683
washington,2002,1,2002-01,270.0804166666667,271.98311011904764,-1.9026934523809587
washington,2002,2,2002-02,273.9891666666667,273.18596726190475,0.8031994047619264
washington,2002,3,2002-03,274.42583333333334,276.71316964285717,-2.2873363095238233
washington,2002,4,2002-04,279.95166666666665,280.24651785714286,-0.29485119047620856
washington,2002,5,2002-05,283.8591666666666,285.1485863095238,-1.2894196428571831
washington,2002,6,2002-06,290.9904166666667,289.0886458333333,1.9017708333333871
washington,2002,7,2002-07,292.9504166666666,292.189806547619,0.7606101190476124
washington,2002,8,2002-08,291.72333333333336,291.27175595238094,0.45157738095241484
washington,2002,9,2002-09,285.18125000000003,286.9923363095238,-1.8110863095237733
washington,2002,10,2002-10,282.36125,281.9270684523809,0.4341815476190618
washington,2002,11,2002-11,276.6954166666667,276.1007886904762,0.5946279761905089
washington,2002,12,2002-12,265.43,272.1713392857143,-6.741339285714275
washington,2003,1,2003-01,273.7495833333333,271.98311011904764,1.7664732142856678
washington,2003,2,2003-02,274.14625,273.18596726190475,0.960282738095259
washington,2003,3,2003-03,277.01458333333335,276.71316964285717,0.3014136904761813
washington,2003,4,2003-04,281.2395833333333,280.24651785714286,0.993065476190452
washington,2003,5,2003-05,287.25916666666666,285.1485863095238,2.110580357142851
washington,2003,6,2003-06,290.67625,289.0886458333333,1.5876041666666652
washington,2003,7,2003-07,292.0183333333333,292.189806547619,-0.1714732142856974
washington,2003,8,2003-08,292.095,291.27175595238094,0.8232440476190845
washington,2003,9,2003-09,288.10375,286.9923363095238,1.1114136904761835
washington,2003,10,2003-10,281.98625,281.9270684523809,0.0591815476190618
washington,2003,11,2003-11,272.6166666666666,276.1007886904762,-3.4841220238095616
washington,2003,12,2003-12,270.80749999999995,272.1713392857143,-1.3638392857143344
washington,2004,1,2004-01,268.115,271.98311011904764,-3.8681101190476284
washington,2004,2,2004-02,275.71416666666664,273.18596726190475,2.5281994047618923
washington,2004,3,2004-03,280.1766666666667,276.71316964285717,3.4634970238095093
washington,2004,4,2004-04,281.4841666666667,280.24651785714286,1.2376488095238187
washington,2004,5,2004-05,285.96375,285.1485863095238,0.8151636904761972
washington,2004,6,2004-06,289.97541666666666,289.0886458333333,0.8867708333333439
washington,2004,7,2004-07,291.56083333333333,292.189806547619,-0.6289732142856792
washington,2004,8,2004-08,290.18958333333336,291.27175595238094,-1.0821726190475829
washington,2004,9,2004-09,287.1720833333333,286.9923363095238,0.17974702380951157
washington,2004,10,2004-10,281.72999999999996,281.9270684523809,-0.19706845238096093
washington,2004,11,2004-11,278.53249999999997,276.1007886904762,2.4317113095237914
washington,2004,12,2004-12,270.8954166666667,272.1713392857143,-1.2759226190476056
washington,2005,1,2005-01,272.36,271.98311011904764,0.3768898809523762
washington,2005,2,2005-02,274.50916666666666,273.18596726190475,1.3231994047619082
washington,2005,3,2005-03,275.21791666666667,276.71316964285717,-1.4952529761904998
washington,2005,4,2005-04,282.11833333333334,280.24651785714286,1.871815476190477
washington,2005,5,2005-05,286.74708333333336,285.1485863095238,1.598497023809557
washington,2005,6,2005-06,290.09458333333333,289.0886458333333,1.005937500000016
washington,2005,7,2005-07,292.69916666666666,292.189806547619,0.509360119047642
washington,2005,8,2005-08,291.22125,291.27175595238094,-0.05050595238094502
washington,2005,9,2005-09,286.40000000000003,286.9923363095238,-0.5923363095237733
washington,2005,10,2005-10,281.45750000000004,281.9270684523809,-0.4695684523808836
washington,2005,11,2005-11,278.26375,276.1007886904762,2.162961309523837
washington,2005,12,2005-12,270.1270833333333,272.1713392857143,-2.044255952380979
washington,2006,1,2006-01,270.1195833333333,271.98311011904764,-1.8635267857143276
washington,2006,2,2006-02,273.7441666666667,273.18596726190475,0.5581994047619219
washington,2006,3,2006-03,277.91083333333336,276.71316964285717,1.1976636904761904
washington,2006,4,2006-04,280.8691666666667,280.24651785714286,0.6226488095238096
washington,2006,5,2006-05,283.12,285.1485863095238,-2.028586309523803
washington,2006,6,2006-06,288.84375,289.0886458333333,-0.24489583333331666
washington,2006,7,2006-07,293.40958333333333,292.189806547619,1.2197767857143162
washington,2006,8,2006-08,291.26458333333335,291.27175595238094,-0.007172619047594253
washington,2006,9,2006-09,285.7383333333333,286.9923363095238,-1.2540029761905203
washington,2006,10,2006-10,283.28041666666667,281.9270684523809,1.3533482142857451
washington,2006,11,2006-11,275.4529166666667,276.1007886904762,-0.6478720238094979
washington,2006,12,2006-12,267.5125,272.1713392857143,-4.6588392857142935
washington,2007,1,2007-01,274.1970833333333,271.98311011904764,2.2139732142856587
washington,2007,2,2007-02,270.2316666666666,273.18596726190475,-2.9543005952381236
washington,2007,3,2007-03,273.02583333333337,276.71316964285717,-3.6873363095238005
washington,2007,4,2007-04,277.2129166666667,280.24651785714286,-3.0336011904761904
washington,2007,5,2007-05,283.1504166666667,285.1485863095238,-1.9981696428571354
washington,2007,6,2007-06,288.4354166666667,289.0886458333333,-0.6532291666666197
washington,2007,7,2007-07,292.36083333333335,292.189806547619,0.17102678571433216
washington,2007,8,2007-08,294.02000000000004,291.27175595238094,2.748244047619096
washington,2007,9,2007-09,285.98791666666665,286.9923363095238,-1.0044196428571581
washington,2007,10,2007-10,280.17,281.9270684523809,-1.7570684523809064
washington,2007,11,2007-11,273.43541666666664,276.1007886904762,-2.665372023809539
washington,2007,12,2007-12,268.7866666666667,272.1713392857143,-3.384672619047592
washington,2008,1,2008-01,273.4533333333333,271.98311011904764,1.4702232142856815
washington,2008,2,2008-02,272.3991666666667,273.18596726190475,-0.7868005952380486
washington,2008,3,2008-03,276.95416666666665,276.71316964285717,0.2409970238094843
washington,2008,4,2008-04,280.3341666666667,280.24651785714286,0.08764880952384146
washington,2008,5,2008-05,285.84291666666667,285.1485863095238,0.6943303571428601
washington,2008,6,2008-06,290.5933333333333,289.0886458333333,1.5046874999999886
washington,2008,7,2008-07,293.5891666666667,292.189806547619,1.3993601190476852
washington,2008,8,2008-08,292.55375,291.27175595238094,1.2819940476190368
washington,2008,9,2008-09,288.93874999999997,286.9923363095238,1.946413690476163
washington,2008,10,2008-10,282.84041666666667,281.9270684523809,0.9133482142857474
washington,2008,11,2008-11,275.3225,276.1007886904762,-0.7782886904761881
washington,2008,12,2008-12,273.38916666666665,272.1713392857143,1.2178273809523716
washington,2009,1,2009-01,272.65916666666664,271.98311011904764,0.6760565476189981
washington,2009,2,2009-02,274.67625000000004,273.18596726190475,1.4902827380952886
washington,2009,3,2009-03,278.1983333333333,276.71316964285717,1.4851636904761563
washington,2009,4,2009-04,280.4895833333333,280.24651785714286,0.24306547619045205
washington,2009,5,2009-05,285.6658333333333,285.1485863095238,0.5172470238094888
washington,2009,6,2009-06,290.95125,289.0886458333333,1.8626041666666993
washington,2009,7,2009-07,291.99708333333336,292.189806547619,-0.19272321428564965
washington,2009,8,2009-08,293.19416666666666,291.27175595238094,1.9224107142857179
washington,2009,9,2009-09,285.56125,286.9923363095238,-1.4310863095238346
washington,2009,10,2009-10,280.4870833333334,281.9270684523809,-1.4399851190475488
washington,2009,11,2009-11,276.0104166666667,276.1007886904762,-0.09037202380949338
washington,2009,12,2009-12,273.2608333333333,272.1713392857143,1.0894940476190413
washington,2010,1,2010-01,274.0991666666667,271.98311011904764,2.1160565476190527
washington,2010,2,2010-02,275.8241666666667,273.18596726190475,2.638199404761963
washington,2010,3,2010-03,277.8966666666667,276.71316964285717,1.1834970238095366
washington,2010,4,2010-04,281.45374999999996,280.24651785714286,1.2072321428570945
washington,2010,5,2010-05,287.75875,285.1485863095238,2.610163690476213
washington,2010,6,2010-06,290.0604166666667,289.0886458333333,0.9717708333333803
washington,2010,7,2010-07,293.65791666666667,292.189806547619,1.468110119047651
washington,2010,8,2010-08,292.21666666666664,291.27175595238094,0.9449107142856974
washington,2010,9,2010-09,287.44458333333336,286.9923363095238,0.45224702380954795
washington,2010,10,2010-10,279.80041666666665,281.9270684523809,-2.126651785714273
washington,2010,11,2010-11,277.6991666666667,276.1007886904762,1.598377976190534
washington,2010,12,2010-12,269.76208333333335,272.1713392857143,-2.4092559523809314
washington,2011,1,2011-01,273.8475,271.98311011904764,1.8643898809523876
washington,2011,2,2011-02,275.32166666666666,273.18596726190475,2.1356994047619082
washington,2011,3,2011-03,281.41,276.71316964285717,4.696830357142858
washington,2011,4,2011-04,281.82291666666663,280.24651785714286,1.5763988095237664
washington,2011,5,2011-05,285.9870833333334,285.1485863095238,0.8384970238095661
washington,2011,6,2011-06,287.86125,289.0886458333333,-1.2273958333333326
washington,2011,7,2011-07,289.71416666666664,292.189806547619,-2.4756398809523716
washington,2011,8,2011-08,293.42541666666665,291.27175595238094,2.1536607142857065
washington,2011,9,2011-09,288.94250000000005,286.9923363095238,1.950163690476245
washington,2011,10,2011-10,283.9529166666667,281.9270684523809,2.025848214285759
washington,2011,11,2011-11,278.68083333333334,276.1007886904762,2.5800446428571604
washington,2011,12,2011-12,274.4529166666667,272.1713392857143,2.281577380952399
washington,2012,1,2012-01,267.30333333333334,271.98311011904764,-4.679776785714296
washington,2012,2,2012-02,272.7920833333333,273.18596726190475,-0.3938839285714266
washington,2012,3,2012-03,275.9379166666667,276.71316964285717,-0.7752529761904725
washington,2012,4,2012-04,280.34666666666664,280.24651785714286,0.10014880952377325
washington,2012,5,2012-05,283.62166666666667,285.1485863095238,-1.5269196428571377
washington,2012,6,2012-06,288.3183333333333,289.0886458333333,-0.7703124999999886
washington,2012,7,2012-07,294.34125,292.189806547619,2.151443452380988
washington,2012,8,2012-08,291.10791666666665,291.27175595238094,-0.16383928571428896
washington,2012,9,2012-09,285.77458333333334,286.9923363095238,-1.217752976190468
washington,2012,10,2012-10,283.98499999999996,281.9270684523809,2.0579315476190345
washington,2012,11,2012-11,275.0925,276.1007886904762,-1.0082886904762063
washington,2012,12,2012-12,272.78458333333333,272.1713392857143,0.6132440476190482
washington,2013,1,2013-01,269.35375,271.98311011904764,-2.6293601190476465
washington,2013,2,2013-02,276.08750000000003,273.18596726190475,2.901532738095284
washington,2013,3,2013-03,277.9166666666667,276.71316964285717,1.2034970238095184
washington,2013,4,2013-04,279.17125,280.24651785714286,-1.075267857142876
washington,2013,5,2013-05,284.9995833333333,285.1485863095238,-0.14900297619050207
washington,2013,6,2013-06,289.44875,289.0886458333333,0.36010416666670153
washington,2013,7,2013-07,294.50666666666666,292.189806547619,2.3168601190476465
washington,2013,8,2013-08,293.1720833333333,291.27175595238094,1.9003273809523762
